dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
53,"00:03:59,572 --> 00:04:03,635
","...to restore Te Fiti's heart
and save us all.

",0.285537,0.580539,0.050581,0.114147,0.037004,0.017515,0.549074,0.735409,0.281634,0.544036,0.802429,0.0,0.983213
54,"00:04:03,651 --> 00:04:06,358
","Woo! Ho! Ho! Thank you, Mother.
That's enough.

",0.021186,0.703808,0.115639,0.063279,0.149867,0.228416,0.15401,0.666602,0.460857,0.518736,0.0,0.0,0.0
55,"00:04:06,366 --> 00:04:09,524
","- Papa!
- No one goes outside the reef.

",0.701566,0.100368,0.107084,0.112516,0.039179,0.040839,0.07841,0.491551,0.635694,0.46178,0.0,0.0,0.0
56,"00:04:09,532 --> 00:04:12,746
","We're safe here.
There's no darkness.

",0.165747,0.558723,0.296779,0.025955,0.037551,0.335042,0.136546,0.61538,0.38504,0.297395,0.0,0.0,0.0
57,"00:04:12,747 --> 00:04:14,585
","There's no monsters.

",0.334132,0.484792,0.091012,0.131459,0.044761,0.260002,0.273385,0.596963,0.535502,0.219522,0.0,0.0,0.0
58,"00:04:17,580 --> 00:04:19,786
","- Monsters! Monsters!
- There's no monsters! No monsters!

",0.067656,0.152581,0.487308,0.165791,0.201129,0.203683,0.129784,0.603877,0.442914,0.185278,0.0,0.0,0.0
59,"00:04:19,818 --> 00:04:21,334
","- Please, monsters. Don't eat us!
- Ah, hey! Ah!

",0.277627,0.094218,0.22967,0.281639,0.236305,0.037836,0.150356,0.62378,0.370278,0.098588,0.0,0.0,0.0
60,"00:04:21,359 --> 00:04:25,169
","No there is nothin' beyond our reef
but the storm and rusty...

",0.677447,0.076408,0.153591,0.106626,0.076845,0.972424,0.136027,0.287226,0.66534,0.369495,0.0,0.0,0.0
61,"00:04:25,194 --> 00:04:26,114
","I'm gettin' throw up!

",0.077657,0.095926,0.117284,0.170835,0.592576,0.262735,0.273932,0.58018,0.529512,0.18875,0.0,0.0,0.0
62,"00:04:26,154 --> 00:04:30,153
","As long as we stay on our
very safe island, we'll be fine.

",0.244695,0.613942,0.124948,0.032217,0.06539,0.235846,0.371478,0.891624,0.701447,0.623595,0.995353,0.0,0.975399
63,"00:04:30,209 --> 00:04:33,344
","The legends are true.
Someone will have to go!

",0.81743,0.055829,0.112191,0.041405,0.027791,0.077677,0.297941,0.566717,0.049746,0.538606,0.0,0.0,0.869578
64,"00:04:33,352 --> 00:04:38,782
","Mother, more two new years paradise
Who would want to go anywhere else?

",0.290834,0.680986,0.017107,0.034389,0.041072,0.057167,0.205171,0.883265,0.213813,0.318625,0.472718,0.959646,0.0
65,"00:05:15,268 --> 00:05:17,101
","Shoo! Shooo!

",0.182872,0.602756,0.098141,0.108616,0.064932,0.297883,0.27385,0.598327,0.530981,0.196291,0.0,0.0,0.0
66,"00:05:35,523 --> 00:05:36,523
","

",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"00:05:51,717 --> 00:05:57,559
","~ <i>Ou mata e matagi</i> ~
I would wind

",0.125411,0.553221,0.288555,0.045,0.06747,0.075794,0.090487,0.530424,0.193165,0.023284,0.0,0.0,0.0
